Districte;Secció;Periodo;EdatMitjana;Menor18;Major65;PersonesXHabitatge;Unipersonals;Població;Espanyols;Gini;P80/P20
1;1;2021;45.9;15.3;25.5;2.3;38.5;1344;90.9;36.7;2.8
1;2;2021;42.6;19.6;19.7;2.6;28.8;1422;93.1;31;2.7
1;4;2021;40.7;20.2;16.2;2.5;28.8;2044;93.4;27.4;2.3
1;5;2021;42.6;19.3;19.4;2.6;31.3;1348;93.8;29.2;2.3
1;6;2021;44.7;17;23.4;2.5;25.9;1536;95.8;27.7;2.4
1;7;2021;44.9;14.9;21.2;2.4;30.7;1772;91.4;31.8;2.6
1;8;2021;41.1;20.7;16.7;2.5;29.3;2596;90.9;29.8;2.4
1;9;2021;41.2;20.4;16.7;2.7;25.7;1334;92.2;30.3;2.6
1;10;2021;41.5;19.3;15.5;2.6;25.3;1286;94.4;27.2;2.2
1;11;2021;41.9;17.8;17.6;2.5;24.6;1279;87.1;27.3;2.5
1;12;2021;42.4;14.7;16.4;2.3;34.7;1590;84.4;29.9;2.6
1;13;2021;40.6;19.1;14.8;2.6;28.7;950;80.9;28.3;2.5
1;14;2021;45.3;15.8;24.2;2.6;27.9;2076;80.6;28.2;2.6
1;15;2021;44;14.7;22.3;2.4;31.1;1142;82.3;29.2;2.5
1;16;2021;45.1;14.9;23.2;2.4;29.4;2317;89.8;28.7;2.4
1;17;2021;46.3;14.5;25;2.6;27.5;2052;91;27.9;2.4
1;18;2021;41.6;20.8;18.3;2.8;24.2;616;94.3;29.7;3
1;19;2021;42.7;18.8;20.2;2.4;29.6;1536;87.7;27.2;2.3
1;20;2021;42.6;17.5;17.1;2.4;28.8;1507;93.3;27.9;2.4
1;21;2021;45.1;14.9;22.8;2.5;29.5;1429;85.4;27.6;2.2
1;22;2021;41.5;18.9;15.8;2.5;27.6;1900;92;26.7;2.4
1;23;2021;41.4;22.4;16.3;2.5;24.5;1329;95.1;25.2;2.2
1;24;2021;45.6;16.1;24.5;2.5;27.3;813;94;28.3;2.3
2;1;2021;40.5;20.5;17.7;2.7;27;1930;65.6;31;2.5
2;2;2021;35.9;25.9;11.4;3.6;19;851;39.4;22.5;2
2;3;2021;40.7;24;19.4;3.2;28.8;1101;54.3;24.8;2.1
2;4;2021;40;23.3;16.7;3.6;20.8;1002;51.8;25.8;2.2
2;5;2021;41.3;19.5;17.8;2.7;27.6;1397;70.1;29.3;2.6
2;6;2021;39.6;22.3;15.5;3;23.3;1274;72;31.8;2.8
2;8;2021;38.5;21.3;13.2;2.8;27.7;1294;73.6;29.9;2.9
2;9;2021;39.6;21.4;15.6;2.9;21.9;1807;71.9;29.7;2.7
2;11;2021;38.9;21.5;15.1;2.6;27.1;1303;80.5;30.1;2.9
2;12;2021;33.4;31.5;7.6;3;27.6;1612;57.6;27.6;2.3
2;14;2021;37;22.6;9.2;2.6;25.5;2150;89.2;25.2;2.2
2;15;2021;40.2;22.5;16.6;2.8;22;748;94.5;30.6;2.9
2;16;2021;34;27.7;5.9;2.7;21.1;2411;89.9;24.7;2.1
2;17;2021;37.4;23.3;11.1;2.5;30.5;2212;83;30.2;2.8
3;1;2021;41.7;19.3;16.8;2.6;24.8;1833;87;28.6;2.4
3;2;2021;42.8;15.1;16.9;2.5;27.7;1406;84.7;25.3;2.1
3;3;2021;40.7;19.6;15.6;2.5;29.1;1709;82.7;27.4;2.5
3;4;2021;40.4;19.2;16.1;2.5;26.3;1345;81;29;2.8
3;5;2021;38;22.4;12.3;2.4;34.9;2653;85.3;29.3;2.6
3;6;2021;38.2;21.1;11.2;2.6;24.8;2170;90.9;27.8;2.4
3;7;2021;39.5;20.3;13;2.5;29;2312;88;26.5;2.1
3;8;2021;44.8;16.4;23.1;2.5;25.2;1971;91.3;23.2;2.1
3;14;2021;40.1;21;15.3;2.8;26.4;1842;74.8;30.8;2.8
3;15;2021;41.5;20;18.7;2.5;29;1279;85.5;26.3;2.4
3;16;2021;39.2;23.1;18.8;2.9;23.7;1072;62.9;26.7;2.6
3;17;2021;41.9;19.4;20.4;2.7;24.1;1281;78.3;26.4;2.4
3;18;2021;39.1;22.8;13.5;2.6;23.2;1140;85.5;26.6;2.4
3;19;2021;39.6;23.5;16.5;2.8;25.2;1573;70.5;29.3;2.8
3;20;2021;40.2;20.6;15.2;2.5;31.4;1786;81.7;28.9;2.5
4;1;2021;44.4;16.4;22.3;2.5;27.7;1492;87.5;30.8;2.8
4;2;2021;45;16.1;23.6;2.5;30.1;1538;86.4;31.2;2.7
4;3;2021;42.8;17.9;17.8;2.5;27.4;1776;89;28.5;2.4
4;4;2021;43.3;17.4;20.4;2.4;32.5;1472;88.3;28.1;2.4
4;5;2021;41.1;19.6;16;2.5;30.4;1783;86.4;27.4;2.5
4;6;2021;40.8;21;16.9;2.6;26.6;2137;84.9;28.1;2.6
4;7;2021;40.1;20.8;16;2.5;28;2601;86.8;28.1;2.4
4;8;2021;40.8;19.8;15.6;2.5;29.9;1349;88.8;27.1;2.4
4;9;2021;41.6;18.2;15.9;2.6;24.3;1043;85.3;26.6;2.4
4;10;2021;39.8;22;15.9;3.7;21.8;856;64.9;22.4;2
4;12;2021;43.2;16.7;19.5;2.5;26;1372;88.3;26.8;2.4
4;13;2021;43.3;17.8;18.9;2.5;25.8;1565;93.2;28.3;2.4
4;14;2021;43.2;18.3;19.3;2.6;26.8;1356;91.2;29;2.4
4;15;2021;44.8;17.2;24.1;2.5;28.1;1204;87.4;34;2.9
4;16;2021;47.2;13.8;25;2.4;31.1;1226;88.1;32.1;2.7
4;17;2021;44;15.6;19.1;2.5;28.8;1468;91.9;28;2.4
4;18;2021;41.8;18.7;17.3;2.5;28.1;2702;85.9;28.1;2.4
4;19;2021;42.8;18.5;19.6;2.7;22.5;1275;87.3;26.9;2.3
4;20;2021;39.2;21.2;13.8;2.8;27.2;877;72.3;29.5;2.6
4;21;2021;41.1;21.2;17.5;2.8;25.7;1087;77.1;25.9;2.4
4;22;2021;37.4;22.6;7.2;2.9;13.8;2207;96.1;23.7;2.1
4;23;2021;39.1;20;9.2;2.8;18.3;2172;96;23.3;2.1
4;24;2021;39.1;22.3;12.7;3;16.6;2364;95.5;26.8;2.2
4;25;2021;42.9;18.8;20.7;2.6;24.6;1148;87.2;26.4;2.3
4;26;2021;44.7;16;21.8;2.5;30.2;1475;88.9;31.8;2.7
5;1;2021;43.8;15.3;19.4;2.6;25.8;1744;92.8;23.7;2
5;2;2021;47.4;15;27.4;2.5;25.2;1344;96.1;22;2
5;3;2021;43.2;18.1;21.1;2.5;29.3;2014;87.6;27.4;2.3
5;4;2021;40.7;19.8;15.8;2.5;29.2;1729;86.9;27.8;2.5
5;5;2021;43.8;18.7;20.6;2.3;34.9;988;91.6;27.1;2.3
5;6;2021;44.7;17.3;23.4;2.4;28.6;2037;91.2;27.3;2.4
5;7;2021;44.2;14.8;19.3;2.6;25.1;1152;88;29.5;2.5
5;8;2021;45.3;15.1;23.9;2.4;29.2;1824;89.1;27;2.3
5;9;2021;46.4;13.1;23.3;2.4;24.3;1671;92.4;27;2.3
5;10;2021;45.9;16;24.9;2.8;28.8;1788;82.6;24.8;2.2
5;11;2021;45.6;15.2;24.1;2.5;23.3;1831;89.3;26.4;2.2
5;12;2021;45.2;15.7;22.3;2.6;23.8;741;92.7;27;2.3
5;13;2021;39.2;20.3;13.2;2.6;26.3;1731;88.2;26.2;2.5
5;14;2021;41.4;19.8;16.1;2.8;22;2180;87.3;27.1;2.5
5;15;2021;41.6;20.2;19.5;2.6;23.9;2153;85.9;27.4;2.5
5;16;2021;40.8;19.4;16.3;2.5;28.7;2664;89.3;24.6;2.2
5;17;2021;39;20.7;9.7;2.6;22.4;1835;92.4;26.7;2.3
5;18;2021;47.6;14.3;29.7;2.3;30.3;1171;96;22.9;2.1
5;19;2021;36.2;26.1;10.4;2.8;24.4;1432;93.8;28.9;2.5
5;20;2021;43.6;16.7;18.4;2.5;30;1525;91;24.5;2.2
5;21;2021;47.4;13.5;26.7;2.4;25.3;1709;90.9;26.1;2.3
5;22;2021;43.4;17.3;20.3;2.8;18.7;765;91.2;23.9;2.2
5;23;2021;41.5;20.3;16.4;2.5;27.2;1790;92.1;28;2.4
5;24;2021;41.2;18.9;14.2;2.6;24.3;1481;93.7;26.5;2.3
5;25;2021;42.2;18;15.2;2.6;22.4;1193;96.6;25.1;2.2
5;26;2021;49;12.6;29.5;2.4;26.6;1179;92.8;24.7;2.1
5;27;2021;44.7;15.8;20.3;2.4;28.8;1199;91.4;26.2;2.2
5;28;2021;40.5;21.5;13.2;2.7;19.9;1210;97.4;24.1;2
5;29;2021;36;27.1;9.2;3;20.1;1473;91.2;26.1;2.3
6;1;2021;43.5;17.2;20.6;2.7;18.6;1233;85.7;26.9;2.5
6;2;2021;40.7;20.1;16.4;2.6;24.8;1776;78.6;29.7;2.6
6;3;2021;41.2;18.9;17.5;2.6;25.1;2325;76.5;30;2.8
6;4;2021;39.7;22.7;15.2;2.8;28.5;1496;67.3;29.6;2.6
6;5;2021;39.7;19.8;14.6;2.6;25.3;1650;83.2;27.8;2.6
6;6;2021;40.2;20.5;12.6;2.6;21.5;1563;95.1;23.6;2
6;8;2021;43.7;16;20.2;2.4;31.6;2223;88.6;27.9;2.5
6;9;2021;42.6;16;18;2.8;21.5;1306;81.5;23.6;2.1
6;10;2021;42.6;17.8;17.7;2.6;24.6;2150;89.9;26.3;2.2
6;11;2021;43.5;17.3;18.6;2.7;21.8;1628;90.8;27.1;2.6
6;12;2021;43.2;17.5;21.5;2.5;28.7;1386;79.4;27.5;2.5
6;13;2021;43.5;18.3;22.7;2.6;26.1;978;81.6;25.4;2.3
6;14;2021;39.9;22.1;17;2.9;23.5;1238;68.6;27.7;2.3
6;16;2021;40.8;20.1;16.2;2.7;27.8;1686;78.6;32.8;2.8
6;18;2021;43.7;18.1;20.3;2.5;31.8;1291;79.4;24.7;2.4
6;20;2021;39.3;23.3;15.3;2.6;31.8;1930;69.4;27.3;2.3
6;23;2021;41.5;20.7;17.5;2.7;24.1;1438;84.1;27;2.4
6;24;2021;40.3;21;14.5;2.8;17.2;2470;90.3;25.7;2.2
6;25;2021;41.9;18.4;18.5;2.8;21.8;1972;83.7;26.6;2.6
6;26;2021;40.5;20.9;14.9;2.6;24.2;1688;88.4;28;2.6
6;27;2021;42.5;18.9;19.1;2.5;26.8;1317;88.9;25.3;2.3
6;28;2021;42.8;17.6;19.4;2.6;19.9;1506;97.1;23.4;2.1
6;29;2021;38.9;23.5;13.2;2.8;23.3;1120;93.8;24.5;2.1
6;30;2021;37.1;25.6;9.8;2.7;19.2;805;94.1;25.5;2.2
6;31;2021;44.4;14.9;18.9;2.7;22.1;966;88.6;27.8;2.7
6;32;2021;36.4;26.6;9.1;2.9;12.4;855;94.5;21.3;1.9
6;33;2021;34.5;28.9;6.4;3.1;16.2;1521;95.7;20.6;1.8
7;1;2021;38.7;22.5;12.6;2.8;19.8;2822;91.5;28;2.4
7;2;2021;42.7;18.9;21.1;2.6;19.6;2010;93.2;23.6;2
7;3;2021;37.4;24.4;11.6;2.9;18.4;1703;83.4;29;2.6
7;4;2021;46.4;15.7;26.7;2.9;14.9;2268;95.9;27.3;2.3
